condition_id,degradation,level,enhancement_method,true_label,predicted_label,count
clean,clean,none,none,dandelion,sunflowers,8
clean,clean,none,none,tulips,sunflowers,8
clean,clean,none,none,daisy,dandelion,5
clean,clean,none,none,daisy,sunflowers,5
clean,clean,none,none,dandelion,daisy,5
color_cast__light__degraded,color_cast,light,none,tulips,sunflowers,8
color_cast__light__degraded,color_cast,light,none,dandelion,sunflowers,6
color_cast__light__degraded,color_cast,light,none,daisy,dandelion,5
color_cast__light__degraded,color_cast,light,none,daisy,sunflowers,5
color_cast__light__degraded,color_cast,light,none,roses,tulips,5
color_cast__light__hsv_correction,color_cast,light,hsv_correction,daisy,dandelion,7
color_cast__light__hsv_correction,color_cast,light,hsv_correction,dandelion,sunflowers,7
color_cast__light__hsv_correction,color_cast,light,hsv_correction,tulips,sunflowers,7
color_cast__light__hsv_correction,color_cast,light,hsv_correction,tulips,roses,5
color_cast__light__hsv_correction,color_cast,light,hsv_correction,daisy,sunflowers,4
color_cast__light__lab_correction,color_cast,light,lab_correction,dandelion,daisy,9
color_cast__light__lab_correction,color_cast,light,lab_correction,roses,tulips,7
color_cast__light__lab_correction,color_cast,light,lab_correction,tulips,sunflowers,7
color_cast__light__lab_correction,color_cast,light,lab_correction,tulips,roses,6
color_cast__light__lab_correction,color_cast,light,lab_correction,daisy,dandelion,5
color_cast__light__rgb_balance,color_cast,light,rgb_balance,tulips,sunflowers,10
color_cast__light__rgb_balance,color_cast,light,rgb_balance,dandelion,sunflowers,7
color_cast__light__rgb_balance,color_cast,light,rgb_balance,daisy,sunflowers,6
color_cast__light__rgb_balance,color_cast,light,rgb_balance,dandelion,daisy,6
color_cast__light__rgb_balance,color_cast,light,rgb_balance,roses,tulips,5
color_cast__medium__degraded,color_cast,medium,none,tulips,sunflowers,7
color_cast__medium__degraded,color_cast,medium,none,daisy,dandelion,6
color_cast__medium__degraded,color_cast,medium,none,dandelion,sunflowers,6
color_cast__medium__degraded,color_cast,medium,none,daisy,sunflowers,5
color_cast__medium__degraded,color_cast,medium,none,roses,tulips,5
color_cast__medium__hsv_correction,color_cast,medium,hsv_correction,daisy,dandelion,8
color_cast__medium__hsv_correction,color_cast,medium,hsv_correction,tulips,roses,6
color_cast__medium__hsv_correction,color_cast,medium,hsv_correction,tulips,sunflowers,6
color_cast__medium__hsv_correction,color_cast,medium,hsv_correction,dandelion,sunflowers,5
color_cast__medium__hsv_correction,color_cast,medium,hsv_correction,daisy,sunflowers,4
color_cast__medium__lab_correction,color_cast,medium,lab_correction,dandelion,daisy,9
color_cast__medium__lab_correction,color_cast,medium,lab_correction,tulips,roses,9
color_cast__medium__lab_correction,color_cast,medium,lab_correction,roses,tulips,7
color_cast__medium__lab_correction,color_cast,medium,lab_correction,daisy,dandelion,5
color_cast__medium__lab_correction,color_cast,medium,lab_correction,sunflowers,daisy,5
color_cast__medium__rgb_balance,color_cast,medium,rgb_balance,tulips,sunflowers,10
color_cast__medium__rgb_balance,color_cast,medium,rgb_balance,daisy,sunflowers,7
color_cast__medium__rgb_balance,color_cast,medium,rgb_balance,dandelion,sunflowers,7
color_cast__medium__rgb_balance,color_cast,medium,rgb_balance,dandelion,daisy,6
color_cast__medium__rgb_balance,color_cast,medium,rgb_balance,roses,tulips,6
color_cast__strong__degraded,color_cast,strong,none,daisy,dandelion,11
color_cast__strong__degraded,color_cast,strong,none,tulips,sunflowers,7
color_cast__strong__degraded,color_cast,strong,none,daisy,sunflowers,6
color_cast__strong__degraded,color_cast,strong,none,dandelion,sunflowers,6
color_cast__strong__degraded,color_cast,strong,none,tulips,roses,5
color_cast__strong__hsv_correction,color_cast,strong,hsv_correction,daisy,dandelion,11
color_cast__strong__hsv_correction,color_cast,strong,hsv_correction,tulips,sunflowers,7
color_cast__strong__hsv_correction,color_cast,strong,hsv_correction,tulips,roses,6
color_cast__strong__hsv_correction,color_cast,strong,hsv_correction,daisy,sunflowers,5
color_cast__strong__hsv_correction,color_cast,strong,hsv_correction,daisy,tulips,5
color_cast__strong__lab_correction,color_cast,strong,lab_correction,daisy,dandelion,11
color_cast__strong__lab_correction,color_cast,strong,lab_correction,tulips,roses,11
