condition_id,image_type,degradation,level,enhancement_method,class,precision,recall,f1,support
clean,clean,clean,none,none,daisy,0.0,0.0,0.0,2.0
clean,clean,clean,none,none,dandelion,0.5,0.5,0.5,2.0
clean,clean,clean,none,none,roses,0.0,0.0,0.0,2.0
clean,clean,clean,none,none,sunflowers,0.25,0.5,0.3333333333333333,2.0
clean,clean,clean,none,none,tulips,0.0,0.0,0.0,2.0
low_light__light__degraded,degraded,low_light,light,none,daisy,0.0,0.0,0.0,2.0
low_light__light__degraded,degraded,low_light,light,none,dandelion,0.5,0.5,0.5,2.0
low_light__light__degraded,degraded,low_light,light,none,roses,0.0,0.0,0.0,2.0
low_light__light__degraded,degraded,low_light,light,none,sunflowers,0.25,0.5,0.3333333333333333,2.0
low_light__light__degraded,degraded,low_light,light,none,tulips,0.0,0.0,0.0,2.0
low_light__light__gamma_correction,enhanced,low_light,light,gamma_correction,daisy,0.0,0.0,0.0,2.0
low_light__light__gamma_correction,enhanced,low_light,light,gamma_correction,dandelion,0.5,0.5,0.5,2.0
low_light__light__gamma_correction,enhanced,low_light,light,gamma_correction,roses,0.0,0.0,0.0,2.0
low_light__light__gamma_correction,enhanced,low_light,light,gamma_correction,sunflowers,0.25,0.5,0.3333333333333333,2.0
low_light__light__gamma_correction,enhanced,low_light,light,gamma_correction,tulips,0.0,0.0,0.0,2.0
low_light__light__clahe,enhanced,low_light,light,clahe,daisy,0.0,0.0,0.0,2.0
low_light__light__clahe,enhanced,low_light,light,clahe,dandelion,0.0,0.0,0.0,2.0
low_light__light__clahe,enhanced,low_light,light,clahe,roses,0.0,0.0,0.0,2.0
low_light__light__clahe,enhanced,low_light,light,clahe,sunflowers,0.16666666666666666,0.5,0.25,2.0
low_light__light__clahe,enhanced,low_light,light,clahe,tulips,0.25,0.5,0.3333333333333333,2.0
low_light__medium__degraded,degraded,low_light,medium,none,daisy,0.0,0.0,0.0,2.0
low_light__medium__degraded,degraded,low_light,medium,none,dandelion,0.0,0.0,0.0,2.0
low_light__medium__degraded,degraded,low_light,medium,none,roses,0.0,0.0,0.0,2.0
low_light__medium__degraded,degraded,low_light,medium,none,sunflowers,0.2,0.5,0.2857142857142857,2.0
low_light__medium__degraded,degraded,low_light,medium,none,tulips,0.0,0.0,0.0,2.0
low_light__medium__gamma_correction,enhanced,low_light,medium,gamma_correction,daisy,0.0,0.0,0.0,2.0
low_light__medium__gamma_correction,enhanced,low_light,medium,gamma_correction,dandelion,0.5,0.5,0.5,2.0
low_light__medium__gamma_correction,enhanced,low_light,medium,gamma_correction,roses,0.0,0.0,0.0,2.0
low_light__medium__gamma_correction,enhanced,low_light,medium,gamma_correction,sunflowers,0.25,0.5,0.3333333333333333,2.0
low_light__medium__gamma_correction,enhanced,low_light,medium,gamma_correction,tulips,0.0,0.0,0.0,2.0
low_light__medium__clahe,enhanced,low_light,medium,clahe,daisy,0.0,0.0,0.0,2.0
low_light__medium__clahe,enhanced,low_light,medium,clahe,dandelion,0.0,0.0,0.0,2.0
low_light__medium__clahe,enhanced,low_light,medium,clahe,roses,0.0,0.0,0.0,2.0
low_light__medium__clahe,enhanced,low_light,medium,clahe,sunflowers,0.2857142857142857,1.0,0.4444444444444444,2.0
low_light__medium__clahe,enhanced,low_light,medium,clahe,tulips,0.5,0.5,0.5,2.0
low_light__strong__degraded,degraded,low_light,strong,none,daisy,0.3333333333333333,0.5,0.4,2.0
low_light__strong__degraded,degraded,low_light,strong,none,dandelion,0.0,0.0,0.0,2.0
low_light__strong__degraded,degraded,low_light,strong,none,roses,0.0,0.0,0.0,2.0
low_light__strong__degraded,degraded,low_light,strong,none,sunflowers,0.4,1.0,0.5714285714285714,2.0
low_light__strong__degraded,degraded,low_light,strong,none,tulips,0.0,0.0,0.0,2.0
low_light__strong__gamma_correction,enhanced,low_light,strong,gamma_correction,daisy,0.0,0.0,0.0,2.0
low_light__strong__gamma_correction,enhanced,low_light,strong,gamma_correction,dandelion,1.0,0.5,0.6666666666666666,2.0
low_light__strong__gamma_correction,enhanced,low_light,strong,gamma_correction,roses,0.0,0.0,0.0,2.0
low_light__strong__gamma_correction,enhanced,low_light,strong,gamma_correction,sunflowers,0.2,0.5,0.2857142857142857,2.0
low_light__strong__gamma_correction,enhanced,low_light,strong,gamma_correction,tulips,0.3333333333333333,0.5,0.4,2.0
low_light__strong__clahe,enhanced,low_light,strong,clahe,daisy,0.5,0.5,0.5,2.0
low_light__strong__clahe,enhanced,low_light,strong,clahe,dandelion,0.0,0.0,0.0,2.0
low_light__strong__clahe,enhanced,low_light,strong,clahe,roses,0.0,0.0,0.0,2.0
low_light__strong__clahe,enhanced,low_light,strong,clahe,sunflowers,0.3333333333333333,1.0,0.5,2.0
low_light__strong__clahe,enhanced,low_light,strong,clahe,tulips,0.0,0.0,0.0,2.0
gaussian_noise__light__degraded,degraded,gaussian_noise,light,none,daisy,0.0,0.0,0.0,2.0
gaussian_noise__light__degraded,degraded,gaussian_noise,light,none,dandelion,0.6666666666666666,1.0,0.8,2.0
gaussian_noise__light__degraded,degraded,gaussian_noise,light,none,roses,0.0,0.0,0.0,2.0
gaussian_noise__light__degraded,degraded,gaussian_noise,light,none,sunflowers,0.3333333333333333,0.5,0.4,2.0
gaussian_noise__light__degraded,degraded,gaussian_noise,light,none,tulips,0.0,0.0,0.0,2.0
gaussian_noise__light__gaussian_filter,enhanced,gaussian_noise,light,gaussian_filter,daisy,0.0,0.0,0.0,2.0
gaussian_noise__light__gaussian_filter,enhanced,gaussian_noise,light,gaussian_filter,dandelion,0.5,1.0,0.6666666666666666,2.0
gaussian_noise__light__gaussian_filter,enhanced,gaussian_noise,light,gaussian_filter,roses,0.0,0.0,0.0,2.0
gaussian_noise__light__gaussian_filter,enhanced,gaussian_noise,light,gaussian_filter,sunflowers,0.5,1.0,0.6666666666666666,2.0
gaussian_noise__light__gaussian_filter,enhanced,gaussian_noise,light,gaussian_filter,tulips,0.0,0.0,0.0,2.0
gaussian_noise__light__bilateral_filter,enhanced,gaussian_noise,light,bilateral_filter,daisy,0.0,0.0,0.0,2.0
gaussian_noise__light__bilateral_filter,enhanced,gaussian_noise,light,bilateral_filter,dandelion,0.3333333333333333,0.5,0.4,2.0
gaussian_noise__light__bilateral_filter,enhanced,gaussian_noise,light,bilateral_filter,roses,0.0,0.0,0.0,2.0
gaussian_noise__light__bilateral_filter,enhanced,gaussian_noise,light,bilateral_filter,sunflowers,0.4,1.0,0.5714285714285714,2.0
gaussian_noise__light__bilateral_filter,enhanced,gaussian_noise,light,bilateral_filter,tulips,0.0,0.0,0.0,2.0
gaussian_noise__medium__degraded,degraded,gaussian_noise,medium,none,daisy,0.0,0.0,0.0,2.0
gaussian_noise__medium__degraded,degraded,gaussian_noise,medium,none,dandelion,0.5,0.5,0.5,2.0
gaussian_noise__medium__degraded,degraded,gaussian_noise,medium,none,roses,0.0,0.0,0.0,2.0
gaussian_noise__medium__degraded,degraded,gaussian_noise,medium,none,sunflowers,0.5,1.0,0.6666666666666666,2.0
gaussian_noise__medium__degraded,degraded,gaussian_noise,medium,none,tulips,0.5,0.5,0.5,2.0
gaussian_noise__medium__gaussian_filter,enhanced,gaussian_noise,medium,gaussian_filter,daisy,0.0,0.0,0.0,2.0
gaussian_noise__medium__gaussian_filter,enhanced,gaussian_noise,medium,gaussian_filter,dandelion,0.5,0.5,0.5,2.0
gaussian_noise__medium__gaussian_filter,enhanced,gaussian_noise,medium,gaussian_filter,roses,0.0,0.0,0.0,2.0
gaussian_noise__medium__gaussian_filter,enhanced,gaussian_noise,medium,gaussian_filter,sunflowers,0.2,0.5,0.2857142857142857,2.0
gaussian_noise__medium__gaussian_filter,enhanced,gaussian_noise,medium,gaussian_filter,tulips,0.3333333333333333,0.5,0.4,2.0
gaussian_noise__medium__bilateral_filter,enhanced,gaussian_noise,medium,bilateral_filter,daisy,0.0,0.0,0.0,2.0
gaussian_noise__medium__bilateral_filter,enhanced,gaussian_noise,medium,bilateral_filter,dandelion,0.5,0.5,0.5,2.0
gaussian_noise__medium__bilateral_filter,enhanced,gaussian_noise,medium,bilateral_filter,roses,0.0,0.0,0.0,2.0
gaussian_noise__medium__bilateral_filter,enhanced,gaussian_noise,medium,bilateral_filter,sunflowers,0.5,0.5,0.5,2.0
gaussian_noise__medium__bilateral_filter,enhanced,gaussian_noise,medium,bilateral_filter,tulips,0.0,0.0,0.0,2.0
gaussian_noise__strong__degraded,degraded,gaussian_noise,strong,none,daisy,0.0,0.0,0.0,2.0
gaussian_noise__strong__degraded,degraded,gaussian_noise,strong,none,dandelion,1.0,0.5,0.6666666666666666,2.0
gaussian_noise__strong__degraded,degraded,gaussian_noise,strong,none,roses,0.0,0.0,0.0,2.0
gaussian_noise__strong__degraded,degraded,gaussian_noise,strong,none,sunflowers,0.2857142857142857,1.0,0.4444444444444444,2.0
gaussian_noise__strong__degraded,degraded,gaussian_noise,strong,none,tulips,1.0,0.5,0.6666666666666666,2.0
gaussian_noise__strong__gaussian_filter,enhanced,gaussian_noise,strong,gaussian_filter,daisy,0.0,0.0,0.0,2.0
gaussian_noise__strong__gaussian_filter,enhanced,gaussian_noise,strong,gaussian_filter,dandelion,0.5,0.5,0.5,2.0
gaussian_noise__strong__gaussian_filter,enhanced,gaussian_noise,strong,gaussian_filter,roses,0.0,0.0,0.0,2.0
gaussian_noise__strong__gaussian_filter,enhanced,gaussian_noise,strong,gaussian_filter,sunflowers,0.2,0.5,0.2857142857142857,2.0
gaussian_noise__strong__gaussian_filter,enhanced,gaussian_noise,strong,gaussian_filter,tulips,0.3333333333333333,0.5,0.4,2.0
gaussian_noise__strong__bilateral_filter,enhanced,gaussian_noise,strong,bilateral_filter,daisy,0.0,0.0,0.0,2.0
gaussian_noise__strong__bilateral_filter,enhanced,gaussian_noise,strong,bilateral_filter,dandelion,0.25,0.5,0.3333333333333333,2.0
gaussian_noise__strong__bilateral_filter,enhanced,gaussian_noise,strong,bilateral_filter,roses,0.0,0.0,0.0,2.0
gaussian_noise__strong__bilateral_filter,enhanced,gaussian_noise,strong,bilateral_filter,sunflowers,0.6666666666666666,1.0,0.8,2.0
gaussian_noise__strong__bilateral_filter,enhanced,gaussian_noise,strong,bilateral_filter,tulips,0.0,0.0,0.0,2.0
salt_pepper__light__degraded,degraded,salt_pepper,light,none,daisy,1.0,0.5,0.6666666666666666,2.0
salt_pepper__light__degraded,degraded,salt_pepper,light,none,dandelion,0.0,0.0,0.0,2.0
salt_pepper__light__degraded,degraded,salt_pepper,light,none,roses,0.0,0.0,0.0,2.0
salt_pepper__light__degraded,degraded,salt_pepper,light,none,sunflowers,0.25,0.5,0.3333333333333333,2.0
salt_pepper__light__degraded,degraded,salt_pepper,light,none,tulips,0.0,0.0,0.0,2.0
salt_pepper__light__median_filter,enhanced,salt_pepper,light,median_filter,daisy,0.0,0.0,0.0,2.0
salt_pepper__light__median_filter,enhanced,salt_pepper,light,median_filter,dandelion,0.0,0.0,0.0,2.0
salt_pepper__light__median_filter,enhanced,salt_pepper,light,median_filter,roses,0.0,0.0,0.0,2.0
salt_pepper__light__median_filter,enhanced,salt_pepper,light,median_filter,sunflowers,0.4,1.0,0.5714285714285714,2.0
salt_pepper__light__median_filter,enhanced,salt_pepper,light,median_filter,tulips,0.0,0.0,0.0,2.0
salt_pepper__light__gaussian_filter,enhanced,salt_pepper,light,gaussian_filter,daisy,0.0,0.0,0.0,2.0
salt_pepper__light__gaussian_filter,enhanced,salt_pepper,light,gaussian_filter,dandelion,0.5,0.5,0.5,2.0
