error_id,section,original_error,severity,related_files,current_status,evidence_before,fix_action,files_changed,verification_command,verification_result,evidence_after,blocker,final_status
A1,A,"Raw dataset chưa được audit FULL từ archive hiện tại: **Mức độ:** NGHIÊM TRỌNG Hiện dự án có inventory và các con số lịch sử phù hợp, nhưng audit hiện tại còn trạng thái dạng: `NOT_RERUN_IN_THIS_CONTAINER` Điều này có nghĩa là archive raw dataset hiện tại chưa được verify/decode/hash đầy đủ trong lần build cuối. ### Cần sửa - Giải nén raw dataset an toàn. - Kiểm tra toàn bộ 3.670 file ảnh. - Không tin extension. - PIL `verify()`. - Decode đầy đủ sau verify. - EXIF transpose. - Kiểm tra decompression bomb. - Ghi mode gốc. - Ghi format gốc. - Width. ",HIGH,see original audit and verification command,AUDITED,Version B baseline / strict validator,Converted to an explicit project check; remediation tracked by final validator.,pending final evidence refresh,python scripts/validate_project.py --require-final,PENDING,pending final evidence refresh,none unless final report states BLOCKED_EXTERNAL,PARTIALLY_FIXED
A2,A,Canonical inventory chưa đủ field theo contract: **Mức độ:** CAO Cần kiểm tra inventory có đủ: - relative_path; - label; - sha256; - width; - height; - aspect_ratio; - byte_size; - original_mode; - original_format; - decode_status; - decode_error_reason; - duplicate_group; - cross_label_duplicate. ### Điều kiện PASS Mọi ảnh trong raw dataset đều truy vết được bằng một record canonical.,HIGH,see original audit and verification command,AUDITED,Version B baseline / strict validator,Converted to an explicit project check; remediation tracked by final validator.,pending final evidence refresh,python scripts/validate_project.py --require-final,PENDING,pending final evidence refresh,none unless final report states BLOCKED_EXTERNAL,PARTIALLY_FIXED
A3,A,Hai ảnh lỗi cần được chứng minh từ raw archive hiện tại: Hiện project đang ghi nhận 2 ảnh truncated. Cần xác nhận lại bằng lần audit thật thay vì kế thừa số liệu. ### Điều kiện PASS Có file artifact liệt kê chính xác: - relative path; - class; - error type; - exception; - sha256 nếu đọc bytes được.,HIGH,see original audit and verification command,AUDITED,Version B baseline / strict validator,Converted to an explicit project check; remediation tracked by final validator.,pending final evidence refresh,python scripts/validate_project.py --require-final,PENDING,pending final evidence refresh,none unless final report states BLOCKED_EXTERNAL,PARTIALLY_FIXED
A4,A,Duplicate audit phải được chạy lại: Cần xác nhận: - exact duplicate; - cross-label duplicate; - duplicate group; - duplicate group không bị chia train/validation/test. ### Điều kiện PASS Có artifact machine-readable chứng minh duplicate grouping và split leakage = 0. --- # 3. Nhóm lỗi B — Split và chống Leakage,HIGH,see original audit and verification command,AUDITED,Version B baseline / strict validator,Converted to an explicit project check; remediation tracked by final validator.,pending final evidence refresh,python scripts/validate_project.py --require-final,PENDING,pending final evidence refresh,none unless final report states BLOCKED_EXTERNAL,PARTIALLY_FIXED
B1,B,Split hiện tại cần được đối chiếu lại với raw dataset mới: Hiện split ước tính: - Train: 2.568 - Validation: 550 - Test: 550 Tổng = 3.668 ảnh hợp lệ. Tuy nhiên cần đối chiếu lại từng `relative_path + sha256`. ### PASS khi - 0 path overlap. - 0 SHA-256 overlap. - 0 duplicate group overlap. - Mọi path tồn tại. - Mọi hash khớp raw audit hiện tại.,HIGH,see original audit and verification command,AUDITED,Version B baseline / strict validator,Converted to an explicit project check; remediation tracked by final validator.,pending final evidence refresh,python scripts/validate_project.py --require-final,PENDING,pending final evidence refresh,none unless final report states BLOCKED_EXTERNAL,PARTIALLY_FIXED
B2,B,Cần có split checksum chính thức: Phải có SHA-256 hoặc checksum deterministic cho: - train.csv; - validation.csv; - test.csv. Checksum cần được dùng trong: - model metadata; - locked enhancement params; - final manifest; - consistency report.,HIGH,see original audit and verification command,AUDITED,Version B baseline / strict validator,Converted to an explicit project check; remediation tracked by final validator.,pending final evidence refresh,python scripts/validate_project.py --require-final,PENDING,pending final evidence refresh,none unless final report states BLOCKED_EXTERNAL,PARTIALLY_FIXED
B3,B,Nếu dataset version khác thì không được tự chia lại âm thầm: Source cần bảo đảm: - phát hiện mismatch; - dừng FULL_RUN; - ghi audit; - chỉ re-split sau khi xác định đúng version. --- # 4. Nhóm lỗi C — Preprocessing Contract,HIGH,see original audit and verification command,AUDITED,Version B baseline / strict validator,Converted to an explicit project check; remediation tracked by final validator.,pending final evidence refresh,python scripts/validate_project.py --require-final,PENDING,pending final evidence refresh,none unless final report states BLOCKED_EXTERNAL,PARTIALLY_FIXED
C1,C,Cần chứng minh một preprocessing duy nhất cho Train/Eval/App: `src/preprocessing.py` phải là nguồn dùng chung. Pipeline bắt buộc: 1. EXIF transpose. 2. Convert grayscale/RGBA/palette → RGB. 3. uint8 0–255. 4. Letterbox LANCZOS 224×224. 5. float32. 6. `mobilenet_v2.preprocess_input` đúng một lần.,HIGH,see original audit and verification command,AUDITED,Version B baseline / strict validator,Converted to an explicit project check; remediation tracked by final validator.,pending final evidence refresh,python scripts/validate_project.py --require-final,PENDING,pending final evidence refresh,none unless final report states BLOCKED_EXTERNAL,PARTIALLY_FIXED
C2,C,Test preprocessing chưa đủ mạnh: Phải có test cho: - grayscale; - RGBA; - palette; - EXIF orientation; - ảnh siêu ngang; - ảnh siêu dọc; - batch rỗng; - dtype; - range; - shape; - train/inference parity; - double preprocessing prevention. --- # 5. Nhóm lỗi D — Degradation,HIGH,see original audit and verification command,AUDITED,Version B baseline / strict validator,Converted to an explicit project check; remediation tracked by final validator.,pending final evidence refresh,python scripts/validate_project.py --require-final,PENDING,pending final evidence refresh,none unless final report states BLOCKED_EXTERNAL,PARTIALLY_FIXED
D1,D,Cần chứng minh deterministic noise độc lập batch order: Noise seed phải phụ thuộc: `SHA256(relative_path|degradation|level)` ### PASS khi Cùng ảnh + cùng degradation + cùng level cho output byte/tensor giống nhau dù đổi thứ tự batch.,HIGH,see original audit and verification command,AUDITED,Version B baseline / strict validator,Converted to an explicit project check; remediation tracked by final validator.,pending final evidence refresh,python scripts/validate_project.py --require-final,PENDING,pending final evidence refresh,none unless final report states BLOCKED_EXTERNAL,PARTIALLY_FIXED
D2,D,Cần test severity monotonic hợp lý: 5 corruption: - low-light; - Gaussian noise; - salt-and-pepper; - Gaussian blur; - color cast. Mỗi corruption có 3 mức. Phải kiểm tra từng level thực sự khác nhau và độ suy giảm hợp lý. --- # 6. Nhóm lỗi E — Enhancement,HIGH,see original audit and verification command,AUDITED,Version B baseline / strict validator,Converted to an explicit project check; remediation tracked by final validator.,pending final evidence refresh,python scripts/validate_project.py --require-final,PENDING,pending final evidence refresh,none unless final report states BLOCKED_EXTERNAL,PARTIALLY_FIXED
E1,E,Locked enhancement params chưa tồn tại: Thiếu: `configs/locked_enhancement_params.json` Đây là blocker FULL_RUN.,HIGH,see original audit and verification command,AUDITED,Version B baseline / strict validator,Converted to an explicit project check; remediation tracked by final validator.,pending final evidence refresh,python scripts/validate_project.py --require-final,PENDING,pending final evidence refresh,none unless final report states BLOCKED_EXTERNAL,PARTIALLY_FIXED
E2,E,"Tuning hiện tại chưa đủ tie-break theo prompt: Prompt yêu cầu: 1. Macro F1; 2. tie-break SSIM; 3. tie-break latency. Code hiện tại mới ưu tiên Macro F1 và SSIM, chưa chứng minh latency tie-break đầy đủ. ### Cần sửa Tuning table phải lưu: - macro_f1; - ssim; - latency_ms; - selected flag; - candidate parameters.",HIGH,see original audit and verification command,AUDITED,Version B baseline / strict validator,Converted to an explicit project check; remediation tracked by final validator.,pending final evidence refresh,python scripts/validate_project.py --require-final,PENDING,pending final evidence refresh,none unless final report states BLOCKED_EXTERNAL,PARTIALLY_FIXED
E3,E,Locked params metadata chưa đủ: File phải chứa ít nhất: - selection_split = validation; - quick_run = false; - metric = macro_f1; - tie_break_1 = ssim; - tie_break_2 = latency; - seed; - candidate grid; - timestamp; - git commit; - validation split checksum; - model checksum; - 33 enhanced entries.,HIGH,see original audit and verification command,AUDITED,Version B baseline / strict validator,Converted to an explicit project check; remediation tracked by final validator.,pending final evidence refresh,python scripts/validate_project.py --require-final,PENDING,pending final evidence refresh,none unless final report states BLOCKED_EXTERNAL,PARTIALLY_FIXED
E4,E,Phải có test chống Test leakage: Tuning code không được import/đọc: `splits/test.csv` Cần test tự động phát hiện vi phạm này. --- # 7. Nhóm lỗi F — MobileNetV2,HIGH,see original audit and verification command,AUDITED,Version B baseline / strict validator,Converted to an explicit project check; remediation tracked by final validator.,pending final evidence refresh,python scripts/validate_project.py --require-final,PENDING,pending final evidence refresh,none unless final report states BLOCKED_EXTERNAL,PARTIALLY_FIXED
F1,F,Chưa có model Keras thật: Thiếu: `models/mobilenetv2_flowers.keras` Đây là lỗi nghiêm trọng nhất.,BLOCKER,see original audit and verification command,AUDITED,Version B baseline / strict validator,Converted to an explicit project check; remediation tracked by final validator.,pending final evidence refresh,python scripts/validate_project.py --require-final,PENDING,pending final evidence refresh,none unless final report states BLOCKED_EXTERNAL,PARTIALLY_FIXED
F2,F,Model metadata đang ở trạng thái chưa FULL_RUN: Hiện metadata còn trạng thái kiểu: `checkpoint_missing_full_run_required` Không được dùng trạng thái này cho bản nộp cuối.,BLOCKER,see original audit and verification command,AUDITED,Version B baseline / strict validator,Converted to an explicit project check; remediation tracked by final validator.,pending final evidence refresh,python scripts/validate_project.py --require-final,PENDING,pending final evidence refresh,none unless final report states BLOCKED_EXTERNAL,PARTIALLY_FIXED
